t,Q05_S_p,Q25_S_p,Q50_S_p,Mean_S_p,Q75_S_p,Q95_S_p,Q05_I_p,Q25_I_p,Q50_I_p,Mean_I_p,Q75_I_p,Q95_I_p,Q05_I_v,Q25_I_v,Q50_I_v,Mean_I_v,Q75_I_v,Q95_I_v,Q05_Y_p,Q25_Y_p,Q50_Y_p,Mean_Y_p,Q75_Y_p,Q95_Y_p
20.0,0.015914151257172108,0.04094573440044183,0.08336084022151169,0.09826576448272055,0.14264487559336303,0.2304163489531769,0.19262389155360718,0.31821119049693203,0.42780510726491816,0.43272407513513755,0.5420850591525248,0.6871632348313408,6.261977356987657,6.310764059318932,6.36256308880935,6.383750800280939,6.4363838911079085,6.580523342248689,0.380102411282065,0.4543612877366166,0.4837695543430821,0.47077916777010903,0.5013371507539889,0.5150538618239913
21.0,0.014219931800494304,0.03486485394871568,0.06954878400280581,0.08620412607338217,0.12346451511681408,0.20943196594267047,0.21402852782137416,0.3480765967066282,0.45769306516039504,0.4570284558736278,0.5641495600271025,0.7022232969924385,6.464280719316568,6.520646940332272,6.578887892288785,6.6001247527106885,6.659286326744345,6.812311954222699,0.39732324787242534,0.48000708848133306,0.5135985407133474,0.49971573318481977,0.5343911320943192,0.5515901221389324
22.0,0.012883158211314305,0.030187885609113136,0.05901460913036167,0.07661724934498274,0.10791458121899937,0.19767666211171595,0.2350057137779798,0.37553179811097315,0.4839449668293882,0.4797881531569194,0.5839279698549479,0.712670154636669,6.661827731524146,6.726662342110196,6.791407214031442,6.812617282200448,6.878133820152168,7.038985600652462,0.41402301670697544,0.5040466756549771,0.54263630855917,0.5278556114094296,0.5669021536172475,0.5873987803978299
23.0,0.011722401612199644,0.026609285693839017,0.0503452112224623,0.06796239701411298,0.09396376024475611,0.1823113954810967,0.258729668012376,0.4046262210980775,0.5081386889528015,0.502256082168082,0.6038541754117295,0.7250681839126656,6.856292205514152,6.928850284237204,7.0000565368121155,7.021362792251752,7.094023194803724,7.2593096023831425,0.4309499358085772,0.5274935305898694,0.5707005111419858,0.5551515814045301,0.5985496573245357,0.6229662929204186
24.0,0.011212158894451678,0.02384768729769656,0.04373541930400566,0.06095518794386393,0.0826130909835684,0.16756905800296484,0.2828669031351531,0.431077041941689,0.5323427093443253,0.5235400675548374,0.6214688877054955,0.7359040897839221,7.0467349085410556,7.128327796804213,7.206488353598307,7.226470510893864,7.30574667137163,7.474864630009505,0.4460968149466737,0.5502717109717356,0.597682722355825,0.5815685142602594,0.62945655329732,0.6579625523644564
25.0,0.010760418088320846,0.021656086203046696,0.038608170957428314,0.05488983576007719,0.07301493844080004,0.15221955920334757,0.3030984069357155,0.4576588449014326,0.5549267493202216,0.5439420271462985,0.6390035559883239,0.7457583155802517,7.232715452198111,7.325099415859204,7.408628819079962,7.427936067843618,7.513476918881037,7.687289618414041,0.46124498983812173,0.5722057173251153,0.6237338319207839,0.6070894884661017,0.659243147188238,0.6918921105961278
26.0,0.009892425285376281,0.0197377386200699,0.03508296689537903,0.049713293382238295,0.06514906816766351,0.13929966491242016,0.3313954556499374,0.48251143349790865,0.5747423984252512,0.563529921488932,0.6556177299098693,0.7563014378839448,7.417543140390535,7.518002637859831,7.607851024750558,7.625894409129891,7.716546383879037,7.894987826948207,0.47673826236525707,0.5928090570022063,0.6491049071091838,0.6317113271757504,0.6882094646414978,0.7254143577173808
27.0,0.009494783259683375,0.01834730532335985,0.031652206571343114,0.04570318693713335,0.058239467012601555,0.12957940254916356,0.35463392778576147,0.505526584042976,0.5940140260908803,0.5818557463518764,0.669985237615954,0.7649140258578878,7.598475588617019,7.709672572192379,7.803781096496932,7.820378281047991,7.916213574059465,8.096397830563903,0.49102035618288864,0.6128833067727553,0.6731998096600083,0.6554350702501598,0.715789037221405,0.7579649495020937
28.0,0.008763189798059215,0.017186705742250754,0.029499467779102877,0.04262328658075997,0.054448684848882545,0.12219149054330171,0.38018769799136093,0.5268644621545151,0.6109917324812898,0.59883376111821,0.6843123735546741,0.772475813546605,7.77749575265726,7.896886238677757,7.995792776214878,8.011337424802244,8.11188811746452,8.294640651981542,0.5054181944697643,0.6315996558388075,0.6961389310139137,0.6782758202130091,0.7423142675596142,0.7901699583673867
29.0,0.00861599193810526,0.01614514804229707,0.02767515745159967,0.039951078593503254,0.049453156264017875,0.11268612316943256,0.40268609964921437,0.5477184388447647,0.6267698375517882,0.6149756259337078,0.6971059440437056,0.7816951623667107,7.951387270300916,8.081762134356046,8.184863108772806,8.19881357471254,8.304424459326347,8.488106553823576,0.5181623937053895,0.6498307270206684,0.7180646310423373,0.7002612741846317,0.7680990396859445,0.8210351189951137
