"t","L","S","E","I_S","I_A","H","R","D","V","J","u_L","u_V"
"19.345","0.20859","0.387906","0.0638878","0.00519048","0.0634874","0.00196851","0.171358","0.000508241","0.0971035","0.004603","0.000457242","0.0127639"
"19.5275","0.206407","0.3872","0.0638094","0.00519014","0.0635528","0.00196954","0.173394","0.000514485","0.0979619","0.00465654","0.000447282","0.0127274"
"19.71","0.204247","0.386487","0.0637266","0.00518947","0.0636137","0.00197045","0.17543","0.000520731","0.0988151","0.00471004","0.000437496","0.0126905"
"19.8925","0.20211","0.385765","0.0636394","0.00518848","0.0636702","0.00197125","0.177466","0.00052698","0.0996632","0.00476353","0.000427881","0.0126532"
"20.075","0.199995","0.385036","0.0635478","0.00518716","0.0637222","0.00197194","0.179501","0.000533231","0.100506","0.00481698","0.000418437","0.0126155"
"20.2575","0.197902","0.384299","0.063452","0.00518552","0.0637697","0.00197251","0.181536","0.000539484","0.101344","0.00487041","0.00040916","0.0125775"
"20.44","0.195831","0.383556","0.0633519","0.00518354","0.0638128","0.00197297","0.18357","0.000545738","0.102176","0.0049238","0.000400049","0.0125391"
"20.6225","0.193781","0.382807","0.0632476","0.00518124","0.0638514","0.00197331","0.185603","0.000551993","0.103003","0.00497715","0.000391102","0.0125003"
"20.805","0.191753","0.382051","0.0631391","0.00517861","0.0638856","0.00197353","0.187636","0.000558249","0.103825","0.00503046","0.000382317","0.0124613"
"20.9875","0.189747","0.381289","0.0630264","0.00517564","0.0639152","0.00197364","0.189667","0.000564505","0.104642","0.00508372","0.000373691","0.0124219"
"21.17","0.187761","0.380522","0.0629095","0.00517235","0.0639405","0.00197363","0.191697","0.000570761","0.105453","0.00513694","0.000365223","0.0123822"
"21.3525","0.185796","0.37975","0.0627886","0.00516872","0.0639613","0.0019735","0.193725","0.000577016","0.106259","0.00519011","0.00035691","0.0123422"
"21.535","0.183853","0.378973","0.0626636","0.00516477","0.0639777","0.00197324","0.195752","0.000583271","0.10706","0.00524323","0.000348752","0.012302"
"21.7175","0.181929","0.378192","0.0625346","0.00516048","0.0639896","0.00197287","0.197777","0.000589524","0.107856","0.00529629","0.000340745","0.0122615"
"21.9","0.180026","0.377406","0.0624016","0.00515586","0.0639971","0.00197238","0.1998","0.000595776","0.108645","0.00534929","0.000332887","0.0122207"
"22.0825","0.178143","0.376616","0.0622646","0.00515091","0.0640002","0.00197176","0.201821","0.000602026","0.10943","0.00540223","0.000325177","0.0121796"
"22.265","0.17628","0.375822","0.0621238","0.00514563","0.063999","0.00197103","0.20384","0.000608273","0.110209","0.0054551","0.000317613","0.0121383"
"22.4475","0.174437","0.375025","0.0619791","0.00514003","0.0639933","0.00197017","0.205857","0.000614518","0.110983","0.00550791","0.000310192","0.0120968"
"22.63","0.172614","0.374225","0.0618306","0.00513409","0.0639833","0.00196919","0.207871","0.000620759","0.111752","0.00556065","0.000302914","0.0120551"
"22.8125","0.17081","0.373422","0.0616784","0.00512783","0.0639689","0.00196808","0.209883","0.000626997","0.112515","0.00561331","0.000295774","0.0120132"
"22.995","0.169025","0.372617","0.0615225","0.00512125","0.0639502","0.00196685","0.211892","0.000633231","0.113273","0.0056659","0.000288773","0.011971"
"23.1775","0.16726","0.371809","0.0613629","0.00511434","0.0639271","0.0019655","0.213898","0.000639461","0.114025","0.00571841","0.000281907","0.0119287"
"23.36","0.165513","0.370999","0.0611997","0.0051071","0.0638998","0.00196403","0.2159","0.000645686","0.114772","0.00577083","0.000275176","0.0118862"
"23.5425","0.163785","0.370187","0.0610329","0.00509955","0.0638681","0.00196243","0.2179","0.000651906","0.115513","0.00582317","0.000268576","0.0118435"
"23.725","0.162076","0.369373","0.0608626","0.00509168","0.0638322","0.00196071","0.219896","0.00065812","0.11625","0.00587543","0.000262106","0.0118007"
"23.9075","0.160385","0.368559","0.0606889","0.00508349","0.0637921","0.00195887","0.221889","0.000664328","0.11698","0.00592759","0.000255764","0.0117577"
"24.09","0.158712","0.367743","0.0605117","0.00507498","0.0637477","0.00195691","0.223878","0.000670531","0.117706","0.00597965","0.000249548","0.0117146"
"24.2725","0.157057","0.366926","0.0603313","0.00506616","0.0636991","0.00195482","0.225863","0.000676726","0.118426","0.00603162","0.000243457","0.0116713"
"24.455","0.15542","0.366108","0.0601475","0.00505703","0.0636464","0.00195261","0.227845","0.000682915","0.119141","0.0060835","0.000237488","0.011628"
"24.6375","0.153801","0.36529","0.0599605","0.0050476","0.0635895","0.00195028","0.229822","0.000689096","0.11985","0.00613526","0.00023164","0.0115845"
"24.82","0.152199","0.364472","0.0597703","0.00503785","0.0635284","0.00194783","0.231795","0.000695269","0.120554","0.00618693","0.000225911","0.0115409"
"25.0025","0.150615","0.363653","0.0595769","0.0050278","0.0634633","0.00194526","0.233764","0.000701434","0.121253","0.00623848","0.000220298","0.0114972"
"25.185","0.149048","0.362835","0.0593805","0.00501746","0.0633941","0.00194256","0.235728","0.00070759","0.121947","0.00628993","0.000214801","0.0114534"
"25.3675","0.147498","0.362017","0.0591811","0.00500681","0.0633208","0.00193975","0.237688","0.000713738","0.122635","0.00634126","0.000209416","0.0114095"
